name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
The Great Indian Pub,Jakhan,"North Indian, Italian, Finger Food",1200,"Takeaway Available, Serves Alcohol, Credit Card, Cash, Delivery, Lunch, Dinner, Debit Card, Indoor Seating, Wifi, Fullbar, Free Parking, Wheelchair Accessible, Free Wifi, Outdoor Seating, Nightlife, Air Conditioned, Live Sports Screening, Live Music, Table reservation required, Live Entertainment, Digital Payments Accepted, Above 18 Only, Karaoke",4.4,Very Good,360,Casual Dining
KC Soup Bar,Jakhan,"Fast Food, Chinese, Tibetan, Momos",250,"Cash, No Alcohol Available, Debit Card, Delivery, Lunch, Takeaway Available, Dinner, Credit Card, Outdoor Seating, Indoor Seating, Digital Payments Accepted, Free Parking",4,Very Good,287,Dhaba
Elloras Melting Moments,Chukkuwala,"Desserts, Bakery, Fast Food",250,"Cash, Takeaway Available, Debit Card, No Alcohol Available, Delivery, Credit Card, Free Parking, Pre-Ordering Required, Digital Payments Accepted, Indoor Seating, Air Conditioned, Desserts and Bakes",4.3,Very Good,333,Bakery
Jalapenos,Malsi,"Cafe, Mexican",500,"Cash, Breakfast, Dinner, Takeaway Available, Lunch, No Alcohol Available, Free Parking, Table Reservation Not Required, Indoor Seating, Digital Payments Accepted, Smoking Area",4.5,Excellent,379,Cafe
Uncle M Hungry,Jakhan,"North Indian, Biryani, Fast Food, Chinese, Momos, Continental",550,"No Alcohol Available, Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Outdoor Seating, Group Meal, Indoor Seating, Digital Payments Accepted, Wheelchair Accessible",4.1,Very Good,201,Casual Dining
Nanys Bakery,Karanpur,"Bakery, Fast Food, Italian, Chinese, Momos",300,"Cash, Debit Card, Delivery, Breakfast, Lunch, Credit Card, Takeaway Available, Dinner, Indoor Seating, Digital Payments Accepted, Outdoor Seating, Air Conditioned, Desserts and Bakes",4.1,Very Good,152,Bakery
Pizza Italia,Karanpur,"Pizza, Fast Food",350,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Credit Card, Indoor Seating, Air Conditioned, Kid Friendly",3.8,Good,247,Quick Bites
Angeethi Restaurant,Dharampur,"Fast Food, North Indian",200,"Takeaway Available, No Alcohol Available, Dinner, Lunch, Cash, Indoor Seating",4.1,Very Good,236,Quick Bites
Pahalwan Paratha Dhabba,Prem Nagar,North Indian,400,"Dinner, Takeaway Available, Delivery, Lunch, Cash, Breakfast, Indoor Seating",4,Very Good,182,Dhaba
Black Pepper Restaurant,Karanpur,"North Indian, Chinese, Continental",1000,"Delivery, Lunch, Debit Card, Dinner, Credit Card, Serves Alcohol, Cash, Indoor Seating, Fullbar, Table Reservation Not Required, Air Conditioned, Nightlife",4.1,Very Good,446,Casual Dining
