name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Garden Cress - Ramada Dehradun,Ramada Dehradun,"North Indian, South Indian, Chinese, Continental",1500,"Debit Card, Lunch, Takeaway Available, Dinner, Cash, Breakfast, Serves Alcohol, Credit Card, Indoor Seating, Table booking recommended, Outdoor Seating, Axis Bank - Dining Delights, Fullbar",4.1,Very Good,55,Fine Dining
Qb Lounge Bar,Jakhan,"Mughlai, North Indian, Chinese",1500,"Lunch, Serves Alcohol, Credit Card, Dinner, Cash, Takeaway Available, Debit Card, DJ, Live Sports Screening, Valet Parking Available, Live Music, Digital Payments Accepted, Axis Bank - Dining Delights, Hookah, Free Parking, Nightlife, Fullbar, Indoor Seating, Above 18 Only, Air Conditioned",3.7,Good,95,Lounge
Muse Restaurant,Chukkuwala,"North Indian, Chinese, Continental",1500,"Dinner, Lunch, Serves Alcohol, Credit Card, Takeaway Available, Luxury Dining, Indoor Seating, Table booking recommended, Valet Parking Available, Buffet, 4/5 Star",3.6,Good,44,Fine Dining
Crust - Ramada Dehradun,Ramada Dehradun,Cafe,1500,"Lunch, Takeaway Available, Dinner, Breakfast, Credit Card, No Alcohol Available, Cash, Indoor Seating, Axis Bank - Dining Delights",3.8,Good,39,Cafe
MJ Restaurant - MJ Residency,Race Course,"North Indian, Chinese, Continental",1500,"Dinner, Debit Card, Lunch, Serves Alcohol, Cash, Credit Card, Valet Parking Available, Indoor Seating, Air Conditioned, Luxury Dining, Fullbar",3.7,Good,31,Fine Dining
Rico Red - Hotel JSR Continental,Dharampur,Finger Food,1500,"Takeaway Available, Credit Card, Lunch, Cash, Debit Card, Dinner, Indoor Seating, Air Conditioned, Nightlife, Above 18 Only, Smoking Area, Fullbar",0,Not rated,1,Quick Bites
Beertales,Hathibarkala Salwala,"North Indian, Italian, Mexican, Thai",1400,"Delivery, Credit Card, Cash, Takeaway Available, Debit Card, Dinner, Free Parking, Indoor Seating, Fullbar, Smoking Area",3.7,Good,15,Pub
Retro Pub,"The Solitaire, Dharampur",Finger Food,1300,"Credit Card, Lunch, Serves Alcohol, Dinner, Air Conditioned, Outdoor Seating, Wifi, Nightlife",3.3,Average,14,Bar
G7 Fine Dine and Pub,Kaonli,"Chinese, Continental, North Indian, Mughlai",1200,"Cash, Debit Card, Lunch, Dinner, Credit Card, Delivery, Serves Alcohol, Nightlife, Wine, Fullbar, DJ, Free Parking, Above 18 Only, Hookah, Digital Payments Accepted, Indoor Seating, Beer, Serves Cocktails, Live Music, Air Conditioned, Gastro Pub",4.2,Very Good,61,Fine Dining
Vatika Restaurant - Hotel Madhuban,"Hotel Madhuban, Hathibarkala Salwala","North Indian, Chinese, Continental",1200,"Credit Card, Dinner, Serves Alcohol, Lunch, Breakfast, Indoor Seating, 4/5 Star, Wifi, Fullbar, Luxury Dining, Air Conditioned, Serves Cocktails, Table booking recommended",4.7,Excellent,94,Fine Dining
Katmans Kitchen & Bar,Jakhan,Finger Food,1200,"Takeaway Available, Credit Card, Lunch, Cash, Debit Card, Dinner, Above 18 Only, Fullbar, Nightlife, Outdoor Seating, DJ, Digital Payments Accepted, Indoor Seating, Air Conditioned, Free Parking, Live Music, Hookah",3.7,Good,78,Lounge
Lords Of Barbecue,Jakhan,"North Indian, BBQ",1200,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating, Air Conditioned, Buffet",3.6,Good,34,Casual Dining
0135 Pub & Kitchen,Rajpur,"Continental, North Indian, Chinese, Pizza, Grill",1200,"Takeaway Available, Cash, Debit Card, Dinner, Delivery, Credit Card, Lunch, Serves Alcohol, Fullbar, Air Conditioned, Indoor Seating",3.9,Good,36,Pub
Ambrosia,Chukkuwala,"North Indian, Continental, Chinese",1200,"Lunch, Credit Card, Takeaway Available, Debit Card, Dinner, Cash, Air Conditioned, Nightlife, Above 18 Only, Digital Payments Accepted, Indoor Seating, Buffet, Fullbar, Axis Bank - Dining Delights",3.4,Average,60,Casual Dining
The Urban Pendu Cafe,Subhash Nagar,Cafe,1200,"Dinner, Cash, Lunch, Takeaway Available, Debit Card, Indoor Seating, Brunch, Desserts and Bakes, Digital Payments Accepted",3.6,Good,49,Cafe
Citrus Cafe - Lemon Tree Hotel,Jakhan,"North Indian, Continental",1200,"Lunch, Debit Card, Credit Card, Dinner, No Alcohol Available, Cash, Breakfast, Indoor Seating, 4/5 Star, Valet Parking Available, Air Conditioned, Luxury Dining",3.6,Good,19,Fine Dining
White Horse - Ramada Dehradun,Ramada Dehradun,Drinks Only,1200,"Cash, Credit Card, Debit Card, Free Parking, Smoking Area, Indoor Seating, Serves Cocktails, Fullbar, Axis Bank - Dining Delights",3.7,Good,17,Bar
Allen n Marlees - Ramada Dehradun,Ramada Dehradun,"Beverages, North Indian, Continental",1200,"Debit Card, Dinner, Credit Card, Lunch, Cash, Rooftop, Free Parking, Fullbar, Craft Beer, Indoor Seating, Table Reservation Not Required",3.4,Average,7,Microbrewery
Alcove,Hathibarkala Salwala,"North Indian, Chinese, Continental, Mughlai",1200,"Lunch, Credit Card, Dinner, Debit Card, Serves Alcohol, Delivery, Cash, Indoor Seating, Air Conditioned, Wifi, Table Reservation Not Required",3.3,Average,8,Casual Dining
Silver Palm Restaurant,Subhash Nagar,"Indian, Chinese, Continental",1200,"Dinner, No Alcohol Available, Lunch, Takeaway Available, Debit Card, Serves Alcohol, Credit Card, Cash, Indoor Seating, Air Conditioned, 4/5 Star, Luxury Dining, Wifi, Table Reservation Not Required",3,Average,5,Fine Dining
Clever Fox Cafe,Rajpur,North Indian,1200,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",0,Not rated,3,Casual Dining
Brigadiers Restro Bar By Vishranti,Prem Nagar,"North Indian, Continental",1200,"Delivery, Credit Card, Dinner, Takeaway Available, Debit Card, Lunch, Cash, Fullbar, Indoor Seating, Air Conditioned, Smoking Area, Wifi, Outdoor Seating, Digital Payments Accepted",0,Not rated,2,Casual Dining
Frost- Hotel Saffron Leaf,Kaonli,"Continental, Chinese, North Indian",1200,"Lunch, Takeaway Available, Debit Card, Dinner, Cash, Credit Card, Fullbar, Axis Bank - Dining Delights, Indoor Seating",0,Not rated,3,Bar
Dive N Dine,Paltan Bazaar,Cafe,1200,"Lunch, Credit Card, Debit Card, Dinner, Cash, Outdoor Seating, Poolside, Digital Payments Accepted, Beer, Serves Cocktails, Brunch, Axis Bank - Dining Delights",0,Not rated,3,Cafe
Thee Heart,"Vikas Cinemall, Indira Nagar","North Indian, Chinese",1100,"Credit Card, Lunch, Dinner, Delivery, Serves Alcohol, Mall Parking, Air Conditioned, Indoor Seating, Fullbar, 4/5 Star, Luxury Dining",3.8,Good,156,Fine Dining
The Pavilion,"Hotel President, Karanpur","North Indian, Continental, Chinese",1100,"Lunch, Credit Card, Serves Alcohol, Dinner, Indoor Seating, Air Conditioned, Wifi, Table Reservation Not Required",3.9,Good,39,Casual Dining
The Clove Restaurant,Prem Nagar,Continental,1100,"Dinner, Breakfast, Lunch, Cash, Credit Card, Debit Card, Dance Floor, Fullbar, Wine Tasting, Serves Cocktails, Air Conditioned, Smoking Area, Pure Veg, Buffet, Sports TV, Outdoor Seating, Indoor Seating, Digital Payments Accepted, Wheelchair Accessible, Brunch",0,Not rated,0,Casual Dining
Edens Grove,Rajpur,"Thai, Chinese, North Indian",1000,"Dinner, Cash, No Alcohol Available, Lunch, Delivery, Takeaway Available, Table booking recommended, Indoor Seating",4.5,Excellent,77,Casual Dining
Bottle Kitchen & Co,Jakhan,"North Indian, Chinese, Continental, Mediterranean, Mexican",1000,"Dinner, Cash, Takeaway Available, Lunch, Credit Card, Fullbar, Indoor Seating, Live Music, Air Conditioned, Wifi",4.3,Very Good,97,Casual Dining
Moti Mahal Restaurant,Race Course,"North Indian, Rajasthani",1000,"Dinner, Credit Card, Lunch, Delivery, Wifi, Axis Bank - Dining Delights, Indoor Seating, Air Conditioned",3.6,Good,118,Casual Dining
Oxygin Lounge & Bistro,Hathibarkala Salwala,"North Indian, Chinese, Continental, Lebanese",1000,"Dinner, Delivery, Credit Card, Debit Card, Lunch, Cash, Takeaway Available, Free Parking, Live Entertainment, Indoor Seating, Air Conditioned, Gaming Area, Live Sports Screening, Table booking recommended, Brunch",3.7,Good,91,Casual Dining
3 Pyramids,Hathibarkala Salwala,"Italian, Continental, Chinese",1000,"Credit Card, Dinner, Takeaway Available, Lunch, Serves Alcohol, Air Conditioned, Fullbar, Indoor Seating, Hookah",3.8,Good,112,Lounge
Aangan Restaurant & Bar,Karanpur,"North Indian, Chinese",1000,"Lunch, Dinner, Serves Alcohol, Credit Card, Cash, Delivery, Debit Card, Indoor Seating, Axis Bank - Dining Delights, Air Conditioned, Fullbar",3.9,Good,96,Fine Dining
Karma Lounge,Hathibarkala Salwala,"North Indian, Fast Food",1000,"Lunch, Debit Card, Delivery, Takeaway Available, Dinner, Cash, Credit Card, Outdoor Seating, Table Reservation Not Required, Indoor Seating, Live Music, Axis Bank - Dining Delights",3.7,Good,24,Casual Dining
Barbeque Planet,Balliwala,"North Indian, Chinese, Coffee and Tea, Fast Food, Indian, Italian, Sandwich, Street Food",1000,"Credit Card, Lunch, Delivery, Cash, Debit Card, Dinner, Takeaway Available, DJ, Indoor Seating, Brunch, Air Conditioned, Kid Friendly, Private Dining Area Available, Wifi, Live Sports Screening, Free Parking, Buffet, Catering Available, Available for Functions, Smoking Area",3.2,Average,67,Restaurant/Shop
Melt - Hotel Saffron Leaf,Kaonli,"North Indian, Chinese, Finger Food",1000,"Dinner, Breakfast, Lunch, Credit Card, Indoor Seating, Air Conditioned, Wifi, Axis Bank - Dining Delights",3.7,Good,41,Casual Dining
Kukreja Food Complex,Krishna Nagar,"Chinese, North Indian, Mughlai",1000,"Credit Card, Lunch, Serves Alcohol, Debit Card, Delivery, Dinner, Cash, Takeaway Available, Luxury Dining, Fullbar, Wine, Air Conditioned, Wifi, Smoking Area, Drive in, Live Music, Indoor Seating, Serves Cocktails, Beer, Hookah, Free Wifi, Valet Parking Available, Live Entertainment",3.2,Average,45,Fine Dining
Onyx - Four Points by Sheraton Dehradun,"Four Points by Sheraton, Jakhan",Drinks Only,1000,"Lunch, Credit Card, Debit Card, Serves Alcohol, Dinner, Cash, Air Conditioned, Above 18 Only, Smoking Area, Live Sports Screening, Nightlife, Fullbar, Indoor Seating, Live Music, Outdoor Seating",3.6,Good,26,Bar
MOB- The Revolution Lounge,Rajpur,"Continental, North Indian, Italian",1000,"Credit Card, Lunch, Takeaway Available, Cash, Debit Card, Dinner, Serves Alcohol, Fullbar, Smoking Area, Indoor Seating, Air Conditioned",3.3,Average,46,Lounge
Kaafal,Chironwali,"North Indian, Chinese, South Indian",1000,"Credit Card, Lunch, Cash, Breakfast, Dinner, Takeaway Available, Delivery, No Alcohol Available, Rooftop, Indoor Seating, Outdoor Seating",3.6,Good,22,Casual Dining
Bottoms Up Bistro,Rajpur,"North Indian, Continental",1000,"Lunch, Cash, Takeaway Available, Debit Card, Dinner, Delivery, Credit Card, Outdoor Seating, Indoor Seating",3.4,Average,27,Casual Dining
Graffiti,Chukkuwala,"Continental, Italian, Pizza",1000,"Takeaway Available, Lunch, No Alcohol Available, Credit Card, Cash, Dinner, Indoor Seating, Table Reservation Not Required, Wheelchair Accessible, Wifi",3.3,Average,13,Casual Dining
Curry Club Restaurant - Hotel Crown Royale,Kaonli,"North Indian, Mughlai, Chinese",1000,"Dinner, Cash, Delivery, Breakfast, Lunch, Serves Alcohol, Credit Card, Debit Card, Fullbar, Indoor Seating, Digital Payments Accepted, Table Reservation Not Required, Outdoor Seating, Air Conditioned, Axis Bank - Dining Delights, Smoking Area",3.3,Average,17,Casual Dining
Coco Rico - Hotel JSR Continental,Dharampur,"South Indian, North Indian, Italian, Continental, Chinese",1000,"Debit Card, Lunch, Takeaway Available, Cash, Credit Card, Dinner, Indoor Seating, Air Conditioned",3.1,Average,6,Quick Bites
UK07 Restro,Ballupur,"North Indian, Awadhi",1000,"Cash, No Alcohol Available, Dinner, Credit Card, Takeaway Available, Lunch, Indoor Seating",2.8,Average,7,Casual Dining
Head Over Heels - Hotel Madhuban,"Hotel Madhuban, Hathibarkala Salwala",Finger Food,1000,"Lunch, Debit Card, Dinner, Credit Card, Serves Alcohol, Cash, Indoor Seating, Fullbar, Air Conditioned",3.4,Average,10,Bar
Blue Whale,Morowala,"North Indian, Chinese",1000,"Lunch, Cash, Takeaway Available, Dinner, Delivery, Fullbar, Digital Payments Accepted, Indoor Seating, Air Conditioned",3.3,Average,9,Lounge
Spice Restaurant - Hotel Galaxy,Race Course,"North Indian, Chinese, Continental, Italian, Thai",1000,"Lunch, Dinner, Cash, Takeaway Available, Credit Card, Debit Card, Wifi, Air Conditioned, Indoor Seating, Table Reservation Not Required",3,Average,4,Casual Dining
The Mint Leaf Restaurant - Hotel Shiva Residency,Hathibarkala Salwala,"North Indian, Chinese, Continental, Finger Food",1000,"Lunch, Breakfast, Credit Card, Delivery, Dinner, Air Conditioned, Valet Parking Available, Indoor Seating, Wifi",3.2,Average,9,Casual Dining
Classic Restaurant,Karanpur,North Indian,1000,"Serves Alcohol, Dinner, Lunch, Credit Card, Indoor Seating, Fullbar, Air Conditioned, Table Reservation Not Required",2.9,Average,4,Casual Dining
Blu Flames-Hotel The Golden Oyster,Majra,"North Indian, Chinese, Continental",1000,"Credit Card, Lunch, Takeaway Available, Cash, Debit Card, Breakfast, Dinner, Indoor Seating, Digital Payments Accepted, Wifi, Table booking not available, Air Conditioned",0,Not rated,3,Casual Dining
Crystal - Hotel Solitaire Express,Chukkuwala,"North Indian, Chinese",1000,"Takeaway Available, Debit Card, Cash, Lunch, Credit Card, Breakfast, Dinner, Delivery, Indoor Seating, Buffet, Air Conditioned, Digital Payments Accepted",0,Not rated,3,Casual Dining
Sky Hub,Dharampur,"Chinese, North Indian",1000,"Lunch, Takeaway Available, Dinner, Cash, Debit Card, Indoor Seating, Digital Payments Accepted, Rooftop",0,Not rated,1,Casual Dining
The Phoenix Club,Khurbura,"Continental, Finger Food",1000,"Dinner, Debit Card, Lunch, Cash, Beer, Air Conditioned, Indoor Seating, Table booking recommended",0,Not rated,1,Lounge
Bay Leaf - Hotel Ambassador,Chukkuwala,"North Indian, Continental, Chinese",1000,"Cash, Debit Card, Dinner, Takeaway Available, Delivery, Credit Card, Lunch, Breakfast, Indoor Seating, Air Conditioned",3,Average,4,Casual Dining
Crystal Bar & Restaurant,Paltan Bazaar,North Indian,1000,"Dinner, Lunch, Serves Alcohol, Indoor Seating, Fullbar, Air Conditioned, Nightlife",0,Not rated,3,Bar
Aroma @ Onix,Majra,"North Indian, Chinese",1000,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating, Air Conditioned",0,Not rated,1,Casual Dining
Hotel Ambassador,Chukkuwala,"North Indian, Chinese, Continental",1000,"Credit Card, Debit Card, Takeaway Available, Cash, Dinner, No Alcohol Available, Breakfast, Lunch, Delivery, Air Conditioned, Indoor Seating, Axis Bank - Dining Delights",0,Not rated,2,Casual Dining
The Coffee Shop,Karanpur,"North Indian, Chinese, Continental",1000,"Dinner, Credit Card, 4/5 Star, Luxury Dining, Wifi, Indoor Seating, Air Conditioned, Axis Bank - Dining Delights",0,Not rated,2,Fine Dining
The Giggles Club,Ballupur,"North Indian, Chinese",1000,"Dinner, Credit Card, Debit Card, Lunch, Serves Alcohol, Cash, Takeaway Available, Air Conditioned, Smoking Area",0,Not rated,1,Casual Dining
Blue Saucer - Hotel GMS Grand,Kaonli,"North Indian, Continental, Chinese",1000,"Lunch, Serves Alcohol, Takeaway Available, Debit Card, Dinner, Cash, Credit Card, Fullbar, Indoor Seating",0,Not rated,0,Casual Dining
Aishwarya Bar & Family Restaurant,Chironwali,"North Indian, Chinese, Continental",1000,"Lunch, Cash, Credit Card, Dinner, Takeaway Available, Debit Card, Serves Alcohol, Fullbar, Indoor Seating",0,Not rated,0,Bar
Paradise,Karanpur,"Chinese, North Indian, Continental",900,"Credit Card, Serves Alcohol, Lunch, Dinner, Takeaway Available, Fullbar, Wifi, Air Conditioned, Indoor Seating, Axis Bank - Dining Delights",4.3,Very Good,78,Casual Dining
Level One,Hathibarkala Salwala,"North Indian, Chinese, Continental",900,"Credit Card, Dinner, Lunch, Debit Card, Delivery, Serves Alcohol, Cash, Air Conditioned, Luxury Dining, Fullbar, Indoor Seating, Serves Cocktails",3.8,Good,133,Fine Dining
Sheesha Lounge & Restaurant,Krishna Nagar,"Italian, Continental, Chinese, North Indian",900,"Takeaway Available, Lunch, Delivery, Credit Card, Dinner, DJ, Karaoke, Smoking Area, Air Conditioned, Rooftop, Free Parking, Nightlife, Live Sports Screening, Private Dining Area Available, Live Music, Table booking recommended, Fullbar, Hookah, Indoor Seating, Digital Payments Accepted, Axis Bank - Dining Delights",3.7,Good,117,Casual Dining
Bravo Charlie,Jakhan,"North Indian, Chinese, Continental",900,"Delivery, Lunch, Cash, Debit Card, Dinner, Credit Card, Live Music, Air Conditioned, Free Parking, Indoor Seating, Digital Payments Accepted, Kid Friendly",4,Very Good,54,Lounge
The Cosmopolitan,Karanpur,"North Indian, Chinese",900,"Delivery, Lunch, Credit Card, Dinner, Indoor Seating, Axis Bank - Dining Delights, Air Conditioned, Table Reservation Not Required",3.8,Good,77,Casual Dining
Ada - Four Banyans,Raipur,"Modern Indian, Awadhi, Chinese",900,"Breakfast, Dinner, Cash, Debit Card, Lunch, Credit Card, Takeaway Available, Indoor Seating",3.2,Average,7,Casual Dining
Thirsty Anchor Parlor - TAP,Jakhan,"North Indian, South Indian, Chinese, Continental",850,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating, Outdoor Seating",4.1,Very Good,85,Casual Dining
The Garage Dine-In,Ballupur,North Indian,850,"Lunch, Delivery, Credit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Digital Payments Accepted, Table Reservation Not Required, Desserts and Bakes, Free Parking, Indoor Seating, Air Conditioned, Live Sports Screening",4,Very Good,99,Casual Dining
The Food Festival,Dharampur,"North Indian, Chinese, Biryani, South Indian",850,"Lunch, Delivery, Cash, Credit Card, Dinner, Indoor Seating, Air Conditioned",2.9,Average,14,Casual Dining
Bercos,Hathibarkala Salwala,"Chinese, Momos",800,"Takeaway Available, Cash, Dinner, Debit Card, Lunch, No Alcohol Available, Credit Card, Air Conditioned, Indoor Seating",3.9,Good,105,Casual Dining
Laxmi Bakers,Morowala,"Bakery, Fast Food",100,"No Seating Available, Cash, Takeaway Available",3.7,Good,26,Quick Bites
Burger & Fast Food Corner,Dharampur,"Fast Food, North Indian",100,"Lunch, Standing Tables, Delivery, Dinner, Cash, Takeaway Available",3.3,Average,66,Quick Bites
UK Roll Express,Karanpur,"Rolls, Fast Food",100,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating",3.5,Good,22,Quick Bites
Chetan Puri Wala,Paltan Bazaar,North Indian,100,"Cash, Breakfast, Lunch, Takeaway Available, Indoor Seating",3.8,Good,36,Quick Bites
Neeraj Sweet Shop,Khurbura,"North Indian, Mithai",100,"Dinner, Cash, Lunch, Takeaway Available, Pure Veg, Indoor Seating, Desserts and Bakes",3.8,Good,42,Casual Dining
Silli Chilli,Ballupur,Fast Food,100,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Indoor Seating, Free Parking",3.6,Good,32,Quick Bites
Ghai Kulfi,Race Course,"Desserts, Ice Cream",100,"Takeaway Available, Cash, Indoor Seating, Desserts and Bakes",3.3,Average,28,Dessert Parlour
Kathi Rolls,Khurbura,Fast Food,100,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",3.7,Good,10,Quick Bites
Bobbys Chinese Food Hut,Paltan Bazaar,Chinese,100,"Dinner, Cash, Takeaway Available, No Seating Available, Free Parking, Digital Payments Accepted, Self Service",3.6,Good,34,Quick Bites
Tick N Pick,Balliwala,Fast Food,100,"Takeaway Available, Dinner, Cash, Lunch, Delivery, Indoor Seating",3.5,Good,17,Quick Bites
My Corn,"Pacific Mall, Jakhan",Fast Food,100,"Mall Parking, Air Conditioned",3.6,Good,16,Kiosk
New Jaina Restaurant,Khurbura,"North Indian, Fast Food",100,"Takeaway Available, Cash, Indoor Seating, Pure Veg",3.4,Average,22,Dhaba
Delhi-6 Chat Bhandar,Jakhan,"Chinese, Street Food",100,"Takeaway Available, Debit Card, Cash, Delivery, Indoor Seating, Pure Veg, Digital Payments Accepted",3.2,Average,9,Quick Bites
Sethis,Paltan Bazaar,Street Food,100,"No Alcohol Available, Breakfast, Dinner, Takeaway Available, Cash, Lunch, Indoor Seating, Pure Veg",3.3,Average,27,Quick Bites
Binnys Fast Food,Karanpur,"Fast Food, Chinese",100,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",3.1,Average,21,Quick Bites
Grind CC Pub,Ballupur,Coffee,100,"Breakfast, Lunch, Cash, Dinner, Air Conditioned, Free Parking, Table reservation required, Indoor Seating",2.6,Average,12,Quick Bites
Kailash Bhojnalya,Race Course,North Indian,100,"No Alcohol Available, Breakfast, Lunch, Takeaway Available, Dinner, Cash, Indoor Seating, Pure Veg",3,Average,10,Dhaba
Bikaner Sweets,Balliwala,"Street Food, Mithai, Fast Food",100,"No Alcohol Available, Takeaway Available, Cash, Indoor Seating, Free Parking, Air Conditioned, Pure Veg, Desserts and Bakes",3.1,Average,9,Sweet Shop
Uttar Sweets,Krishna Nagar,"Mithai, North Indian, Street Food",100,"Breakfast, Lunch, Takeaway Available, Dinner, No Alcohol Available, Cash, Indoor Seating, Free Parking, Pure Veg",2.5,Average,18,Quick Bites
Salvation Dreams,Jakhan,"Fast Food, Desserts, Kebab",100,"Cash, Indoor Seating, Digital Payments Accepted",2.7,Average,5,Quick Bites
Montus Kitchen,Majra,North Indian,100,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",0,Not rated,3,Quick Bites
Doon Chaat Bhandar,Race Course,"Chinese, Street Food",100,"No Seating Available, Standing Tables, Takeaway Available, Dinner, Cash",3.1,Average,4,Quick Bites
ChaiWay,Jakhan,"Beverages, Fast Food",100,"Lunch, Takeaway Available, Dinner, Cash, Digital Payments Accepted",3.1,Average,7,Quick Bites
Muradabadi Chicken Biryani,Paltan Bazaar,Biryani,100,"Available, Cash",3.1,Average,11,Restaurant/Shop
Shahi Darbar,Paltan Bazaar,Mughlai,100,"Breakfast, Lunch, No Alcohol Available, Dinner, Takeaway Available, Cash, Indoor Seating",3.2,Average,7,Dhaba
Sumit Drinks,Paltan Bazaar,Beverages,100,"Cash, Takeaway Available, Indoor Seating, Digital Payments Accepted",3.2,Average,6,Beverage Shop
Kabir Dairy,Paltan Bazaar,Beverages,100,"Cash, Takeaway Available, Indoor Seating, Digital Payments Accepted",0,Not rated,2,Beverage Shop
Big Bite,Race Course,Street Food,100,"No Seating Available, Dinner, Takeaway Available, Lunch, Cash",3.1,Average,5,Quick Bites
Goli Vada Pav No.1,Paltan Bazaar,Street Food,100,"Delivery, Cash, Takeaway Available, Indoor Seating",2.9,Average,4,Quick Bites
New Rita Kulfi,Race Course,"Desserts, Ice Cream",100,"Takeaway Available, Cash, Indoor Seating, Desserts and Bakes",0,Not rated,2,Dessert Parlour
Maini Maggi Point,Prem Nagar,Fast Food,100,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Indoor Seating, Free Parking",3,Average,5,Quick Bites
Delhi Fruit Juice Center,Hathibarkala Salwala,Beverages,100,"Cash, Takeaway Available, Indoor Seating",0,Not rated,2,Beverage Shop
Punjabi Rajma Kadhi Chawal,Rajpur,North Indian,100,"Cash, Dinner, Lunch, Takeaway Available, Outdoor Seating",3,Average,5,Kiosk
Grand Juice and Coffee Bar,Karanpur,"Juices, Beverages",100,"No Seating Available, Takeaway Available, Cash",3.2,Average,4,Beverage Shop
Sant Kabir Dairy,Paltan Bazaar,"Beverages, Street Food",100,"Cash, Takeaway Available, Indoor Seating, Digital Payments Accepted",0,Not rated,2,Beverage Shop
Hansraj Restaurant,Chukkuwala,"North Indian, Fast Food",100,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Pure Veg, Indoor Seating, Free Parking",0,Not rated,3,Dhaba
Raju Food Restaurant,Hathibarkala Salwala,North Indian,100,"No Alcohol Available, Dinner, Lunch, Takeaway Available, Cash, Breakfast, Indoor Seating, Pure Veg, Free Parking",0,Not rated,3,Quick Bites
Fresh Juice Corner,Paltan Bazaar,Juices,100,"Indoor Seating, Pure Veg",3,Average,4,Beverage Shop
Swarna Bakers,Garhi Cantt,"Desserts, Bakery",100,"No Seating Available, Cash, Takeaway Available, Digital Payments Accepted",0,Not rated,2,Dessert Parlour
Pappu Pakode Wale,Prem Nagar,Street Food,100,"Available, Cash",2.9,Average,4,Restaurant/Shop
Ghai Kulfi,Malsi,"Desserts, Ice Cream",100,"Cash, Takeaway Available, Desserts and Bakes, Indoor Seating, Digital Payments Accepted",0,Not rated,2,Dessert Parlour
New Sabri Kathi Roll & Chowmein Center,Subhash Nagar,"Fast Food, Chinese",100,"Takeaway Available, Dinner, Cash, Outdoor Seating",0,Not rated,3,Quick Bites
Omi Dhaba,Khurbura,North Indian,100,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating",0,Not rated,3,Dhaba
Basant Restaurant,Paltan Bazaar,Fast Food,100,"Delivery, Lunch, Dinner, Indoor Seating, Pure Veg",0,Not rated,3,Quick Bites
The Lunch Box,Paltan Bazaar,North Indian,100,"No Seating Available, Lunch, Cash, Takeaway Available, Digital Payments Accepted, Self Service",0,Not rated,2,Food Truck
Cafe Delight,Morowala,Bakery,100,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Pure Veg, Indoor Seating, Free Parking",0,Not rated,1,Casual Dining
Maharaja Roll Corner,Hathibarkala Salwala,Fast Food,100,"No Seating Available, Dinner, Lunch, Cash",0,Not rated,2,Quick Bites
Amritsari Hatti,Paltan Bazaar,North Indian,100,"No Seating Available, Dinner, Cash, Lunch, Standing Tables, Takeaway Available",0,Not rated,2,Quick Bites
New Rita Kulfi,Rajpur,"Desserts, Ice Cream",100,"Takeaway Available, Cash, Indoor Seating, Desserts and Bakes",0,Not rated,1,Dessert Parlour
5 Star Tea Stall,Morowala,North Indian,100,"Dinner, No Alcohol Available, Lunch, Takeaway Available, Cash, Pure Veg, Indoor Seating",0,Not rated,2,Dhaba
Kings Kitchen,Raipur,"Chinese, Tea",100,"Takeaway Available, Cash, Indoor Seating",0,Not rated,1,Quick Bites
Richi Rich Confectioners,Karanpur,"Fast Food, Bakery",100,"No Seating Available, Takeaway Available, Cash, Digital Payments Accepted",0,Not rated,2,Quick Bites
SK Restaurant,Hathibarkala Salwala,North Indian,100,"Indoor Seating, Pure Veg",0,Not rated,1,Dhaba
Parantha Point,Prem Nagar,North Indian,100,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Breakfast, Indoor Seating, Pure Veg",0,Not rated,1,Dhaba
Manohar Tea Shop,Hathibarkala Salwala,North Indian,100,"Lunch, Dinner, Indoor Seating, Pure Veg",0,Not rated,2,Dhaba
Himalayan Bakers,Hathibarkala Salwala,Bakery,100,"No Seating Available, Cash, Takeaway Available, Desserts and Bakes",0,Not rated,1,Bakery
Sai Fast Food,Chukkuwala,"North Indian, Fast Food",100,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",0,Not rated,1,Quick Bites
Karan Fast Food & Restaurant,Karanpur,North Indian,100,"No Alcohol Available, Breakfast, Dinner, Takeaway Available, Cash, Lunch, Indoor Seating, Pure Veg, Free Parking",0,Not rated,1,Quick Bites
Atram Patram,Chukkuwala,Street Food,100,"Cash, Takeaway Available, Debit Card, Delivery, Credit Card",0,Not rated,1,Restaurant/Shop
